routeKey,class,TT_freeflow
40297647#0->967985513#1,veh_passenger,30.0
-1260485929#0->39838882,veh_passenger,322.0
83563432->511187808#4-AddedOnRampEdge,bus_bus,390.0
-1125986386->482569917#1,veh_passenger,296.0
13866211->50323226,veh_passenger,510.0
238219441#0->238219472#3,veh_passenger,219.0
499566574#0->654297635#1,veh_passenger,43.0
1074771170->40109290#4,veh_passenger,400.0
-654297637#1->509646063#1,veh_passenger,264.0
-1118804250->1337646275,veh_passenger,460.0
511409188#0->1254816455,veh_passenger,456.0
900279869->39920593#0,veh_passenger,250.0
-687878722#2->-761486028#0,veh_passenger,323.0
11631594#1->-479863106#1,truck_truck,345.0
437445540->1237953497,veh_passenger,388.0
1074771170->-240666072#2,veh_passenger,146.0
515126384->39921673#0,veh_passenger,325.0
15419906#1->1278784167#1,veh_passenger,474.0
509646144->511404872,veh_passenger,458.0
-438516309->40138239#2,veh_passenger,562.0
-1201484855->381945551,veh_passenger,292.0
39838984#1->39838657#2,veh_passenger,283.0
1272548721->39921025#7,veh_passenger,153.0
39838691#10->515130028#1,veh_passenger,281.0
-1067928305#0->40140017#0,bus_bus,490.0
-10628444#2->488788633#2,veh_passenger,403.0
1323097575#3->-40138633#3,bus_bus,192.0
1254816454->24576913#0,veh_passenger,280.0
413789557->-1332638368#1,veh_passenger,279.0
178699051#0->178583153,veh_passenger,628.0
-449565665#1->-39366819#0,veh_passenger,53.0
-14924729#3->1222703382,bus_bus,331.0
-39838630#3->178702258#2,veh_passenger,35.0
50323229#14->-83428923#0,veh_passenger,275.0
10628442#0->178702261,veh_passenger,375.0
-39838691#9->1272548721,veh_passenger,143.0
822782498->511404873#0,veh_passenger,253.0
40036009#3->515130028#1,veh_passenger,503.0
39920684#5->24577455#2,veh_passenger,216.0
39920550#7->39920505#11,veh_passenger,78.0
39920550#2->509646054,veh_passenger,358.0
39921025#6->40297885#1,veh_passenger,376.0
1324405511->-564273553#4,veh_passenger,444.0
1064476620#2->488788626#2,veh_passenger,407.0
39839131->1234244926,veh_passenger,474.0
47157282#1->142741729#0,veh_passenger,46.0
1196008692#0->1068434204,veh_passenger,604.0
515130028#1->511404877,bus_bus,247.0
654297635#1->-1125986379#1,veh_passenger,45.0
-40297715#2->-39838691#3,veh_passenger,376.0
47087366#2->13909444#3,bus_bus,71.0
826496637->488788633#2,veh_passenger,317.0
1125986386->475044040#3,veh_passenger,325.0
15420537#1->521704031#1,veh_passenger,388.0
666886082#0->511187811,veh_passenger,200.0
-39920222->666886083,veh_passenger,267.0
511404875->-573632774,bus_bus,403.0
-1067928307#2->178583140#1,veh_passenger,340.0
-1068144849#1->515040937,veh_passenger,306.0
1125986375#0->1214520074#3,veh_passenger,208.0
-142741729#0->40036009#1,veh_passenger,219.0
1290439819->-257421487#0,veh_passenger,880.0
-474143552#6->-488788637#1,veh_passenger,178.0
40035325#2->1335304371,veh_passenger,71.0
1332638368#2->1222703383,veh_passenger,260.0
1068144845#2->1335304373#2,veh_passenger,295.0
1335304376#0->515136603,veh_passenger,508.0
1068144844->1222703384#0,veh_passenger,324.0
-653860562->1068434256#1,veh_passenger,152.0
-10250021#4->511187821,veh_passenger,189.0
-654297637#1->-40140017#1,veh_passenger,180.0
730912750->-39920593#1,veh_passenger,437.0
-1254816454->10628442#1,veh_passenger,100.0
-1260485929#0->47087992#5,veh_passenger,244.0
-40109239->1255099069,veh_passenger,634.0
499566574#2->521701857,veh_passenger,385.0
428730813#2->-40035992,veh_passenger,378.0
1234244927#0->39920684#3,veh_passenger,96.0
-967985513#1->39838657#2,bus_bus,368.0
-1015424648->1064476624,bus_bus,189.0
24577522#0->-39921673#0,bus_bus,312.0
33683346#1->-1335304386#1,veh_passenger,153.0
-50323229#14->-1237953494,veh_passenger,450.0
-39921531->-39838691#1,veh_passenger,290.0
-1067928307#3->475044040#2,veh_passenger,277.0
1323097578->1214520076,veh_passenger,217.0
-401226926#1->1196008691#1,truck_truck,268.0
11631594#2->1260481151,veh_passenger,388.0
39920505#11->39366819#1,truck_truck,513.0
509646057#2->1273251151,veh_passenger,358.0
39920505#0->1068144847,veh_passenger,623.0
14924729#2->1290439817#1,veh_passenger,256.0
39838691#9->-1074409256#2,veh_passenger,23.0
-1335304386#0->515123439,veh_passenger,493.0
39920550#10->-50323229#5,veh_passenger,122.0
50323229#2->-1335304371,veh_passenger,192.0
1100626087->24577522#3,veh_passenger,789.0
437445539#0->-488788633#2,veh_passenger,45.0
509646052->47225638#1,truck_truck,117.0
515130028#1-AddedOnRampEdge->-1272337500,veh_passenger,299.0
1015424648->-405382146#1,veh_passenger,92.0
488788629->439836129,veh_passenger,645.0
